@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Vino Riesling Marienburg Grosses Gewachs, Clemens Busch, 2022',11190,5.0,Germanija,'Mozel\'',semi-dry,'risling 100\%','Clemens Busch',12.0,0.75
'Vino Terlaner, Cantina Terlan, 2019',5490,4.6,Italija,'Trentino-Al\'to Adidzhe',dry,'sovin\'on blan 10\%','Cantina Terlan',13.5,0.75
'Vino Zinfandel, Conti Zecca, 2022',1953,4.2,Italija,Apulija,semi-dry,'primitivo 100\%','Conti Zecca',14.0,0.75
'Vino Mukuzani Shildis Mtebi, 2022',903,4.1,Gruzija,Kahetija,dry,'saperavi 100\%','Shildis Mtebi',12.5,0.75
'Vino Massovivo Vermentino, Frescobaldi, 2023',2843,4.5,Italija,Toskana,dry,'vermentino 100\%',Frescobaldi,12.5,0.75
'Vino Dolcetto d`Alba, Giacomo Fenocchio, 2022',3790,4.8,Italija,'P\'emont',dry,'dol\'chetto 100\%','Giacomo Fenocchio',13.0,0.75
'Vino Torrontes La Linda, Luigi Bosca, 2022',1990,4.6,Argentina,Mendosa,dry,'torrontes 100\%','Luigi Bosca',13.6,0.75
'Vino Ornellaia, 2007',144990,5.0,Italija,Toskana,dry,'pti verdo 4\%',Ornellaia,14.5,0.75
'Vino Chateauneuf-du-Pape Telegramme, Vignobles Brunier, 2019',11190,4.9,Frantsija,'Dolina Rony',dry,senso,'Vignobles Brunier',14.5,0.75
'Vino Le Grand Noir Malbec, 2022',1288,4.6,Frantsija,'Langedok-Russil\'on',semi-dry,'mal\'bek 100\%','Le Grand Noir',13.0,0.75
'Vino Pinot Nero Rose, Tenuta di Salviano, 2023',2240,4.7,Italija,Umbrija,dry,'pino nero 100\%','Tenuta di Salviano',12.5,0.75
'Vino Casamatta Rosso, Bibi Graetz, 2020',4790,4.3,Italija,Toskana,dry,'sandzhoveze 100\%','Bibi Graetz',13.0,0.75
'Vino Chenin/Chardonnay, Domaine Tariquet, 2022',2790,4.4,Frantsija,Jugo-Zapad,dry,'shardone 25\%','Domaine Tariquet',10.5,0.75
'Vino Villa Bianchi Verdicchio dei Castelli di Jesi Classico, Umani Ronchi, 2022',2290,4.4,Italija,Marke,semi-dry,'verdikkio 100\%','Umani Ronchi',12.5,0.75
'Vino Medusa Albarino, 2022',2243,4.6,Ispanija,Galisija,dry,'al\'barin\'o',Medusa,12.5,0.75
'Vino Sassoalloro, Castello di Montepo di Jacopo Biondi Santi, 2021',5340,4.3,Italija,Toskana,dry,'sandzhoveze 100\%','Castello di Montepo di Jacopo Biondi Santi',14.0,0.75
'Vino Wallufer Walkenberg Riesling Kabinett, J. B. Becker, 2020',5290,0.0,Germanija,Rejngau,semi-dry,'risling 100\%','J. B. Becker',12.0,0.75
'Vino Zweigelt-Merlot Klassik, Nastl, 2021',2490,4.3,Avstrija,'Nizhnjaja Avstrija',dry,merlo,Nastl,13.0,0.75
'Vino Riesling Kalkmergel, Knipser, 2020',5490,4.9,Germanija,'Pfal\'ts',dry,'risling 100\%',Knipser,12.5,0.75
